,Unnamed: 0,raw_header,reuters_url,article_publish_date,processed_header,neg,neu,pos,compound
50,50,"Apple, Google to release early versions of contact tracing tool to developers",https://www.reuters.com/article/us-health-coronavirus-apple-alphabet/apple-google-to-release-early-versions-of-contact-tracing-tool-to-developers-idUSKBN22B2S9,2 months ago,"Apple, Google to release early versions of contact tracing tool to developers",0.0,1.0,0.0,0.0
51,51,"China discounts, cheaper iPhone to cushion Apple from virus blow to demand",https://www.reuters.com/article/us-apple-results-preview/china-discounts-cheaper-iphone-to-cushion-apple-from-virus-blow-to-demand-idUSKCN22A1LY,2 months ago,"China discounts, cheaper iPhone to cushion Apple from virus blow to demand",0.12,0.88,0.0,-0.128
52,52,Apple to delay mass production of 2020 flagship iPhones: WSJ,https://www.reuters.com/article/us-apple-production/apple-to-delay-mass-production-of-2020-flagship-iphones-wsj-idUSKCN2291CL,2 months ago,Apple to delay mass production of 2020 flagship iPhones: WSJ,0.197,0.684,0.12,-0.2263
53,53,Apple to delay mass production of 2020 flagship iPhones - WSJ,https://www.reuters.com/article/apple-production/apple-to-delay-mass-production-of-2020-flagship-iphones-wsj-idUSL3N2CF330,2 months ago,Apple to delay mass production of 2020 flagship iPhones - WSJ,0.181,0.709,0.11,-0.2263
54,54,Tech titans Apple and Microsoft propel Wall Street rally,https://www.reuters.com/article/us-usa-stocks/tech-titans-apple-and-microsoft-propel-wall-street-rally-idUSKCN2261GD,2 months ago,Tech titans Apple and Microsoft propel Wall Street rally,0.0,1.0,0.0,0.0
55,55,US STOCKS-Tech titans Apple and Microsoft push Wall St higher,https://www.reuters.com/article/usa-stocks/us-stocks-tech-titans-apple-and-microsoft-push-wall-st-higher-idUSL2N2CC1E9,2 months ago,Tech titans Apple and Microsoft push Wall St higher,0.0,1.0,0.0,0.0
56,56,"Apple, Google update coronavirus contact tracing tech ahead of launch",https://www.reuters.com/article/us-apple-google-contact-tracing/apple-google-update-coronavirus-contact-tracing-tech-ahead-of-launch-idUSKCN2262NT,2 months ago,"Apple, Google update coronavirus contact tracing tech ahead of launch",0.0,1.0,0.0,0.0
57,57,Apple plans to sell Macs with its own chips from 2021: Bloomberg,https://www.reuters.com/article/us-apple-semiconductors/apple-plans-to-sell-macs-with-its-own-chips-from-2021-bloomberg-idUSKCN2251T5,2 months ago,Apple plans to sell Macs with its own chips from 2021: Bloomberg,0.0,1.0,0.0,0.0
58,58,Apple plans to sell Macs with its own chips from 2021 - Bloomberg,https://www.reuters.com/article/apple-semiconductors/apple-plans-to-sell-macs-with-its-own-chips-from-2021-bloomberg-idUSL3N2CB2YE,2 months ago,Apple plans to sell Macs with its own chips from 2021 - Bloomberg,0.0,1.0,0.0,0.0
59,59,Apple supplier LG Display posts wider first-quarter loss as pandemic dents demand,https://www.reuters.com/article/us-lg-display-results/apple-supplier-lg-display-posts-wider-first-quarter-loss-as-pandemic-dents-demand-idUSKCN2250RV,2 months ago,Apple supplier LG Display posts wider first-quarter loss as pandemic dents demand,0.275,0.725,0.0,-0.4215
60,60,"Flaw in iPhone, iPads may have allowed hackers to steal data for years",https://www.reuters.com/article/us-usa-apple-cyber/flaw-in-iphone-ipads-may-have-allowed-hackers-to-steal-data-for-years-idUSKCN2242IK,2 months ago,"Flaw in iPhone, iPads may have allowed hackers to steal data for years",0.211,0.789,0.0,-0.4939
61,61,"Flaw in iPhone, iPads may have allowed hackers to steal data for years",https://www.reuters.com/article/usa-apple-cyber/flaw-in-iphone-ipads-may-have-allowed-hackers-to-steal-data-for-years-idUSL2N2CA0P2,2 months ago,"Flaw in iPhone, iPads may have allowed hackers to steal data for years",0.211,0.789,0.0,-0.4939
62,62,Apple expands services business to markets in Africa and beyond,https://www.reuters.com/article/us-apple-services/apple-expands-services-business-to-markets-in-africa-and-beyond-idUSKBN2230R8,2 months ago,Apple expands services business to markets in Africa and beyond,0.0,0.865,0.135,0.1027
63,63,"Goldman predicts 36% drop in iPhone shipment, says time to sell Apple shares",https://www.reuters.com/article/us-apple-iphone/goldman-predicts-36-drop-in-iphone-shipment-says-time-to-sell-apple-shares-idUSKBN21Z1QW,3 months ago,"Goldman predicts 36% drop in iPhone shipment, says time to sell Apple shares",0.137,0.719,0.144,0.0258
64,64,"Goldman predicts 36% drop in iPhone shipment, says time to sell Apple shares",https://www.reuters.com/article/apple-iphone/goldman-predicts-36-drop-in-iphone-shipment-says-time-to-sell-apple-shares-idUSL4N2C531E,3 months ago,"Goldman predicts 36% drop in iPhone shipment, says time to sell Apple shares",0.137,0.719,0.144,0.0258
65,65,Apple to reopen its sole branded store in South Korea on April 18,https://www.reuters.com/article/us-health-coronavirus-apple/apple-to-reopen-its-sole-branded-store-in-south-korea-on-april-18-idUSKBN21Y2ZT,3 months ago,Apple to reopen its sole branded store in South Korea on April 18,0.0,1.0,0.0,0.0
66,66,Apple's budget iPhone unlikely to make splash in China: Weibo poll,https://www.reuters.com/article/us-apple-iphone-china/apples-budget-iphone-unlikely-to-make-splash-in-china-weibo-poll-idUSKCN21Y0P6,3 months ago,Apple's budget iPhone unlikely to make splash in China: Weibo poll,0.0,1.0,0.0,0.0
67,67,Apple's new budget iPhone unlikely to make splash in China where 5G now commonplace,https://www.reuters.com/article/apple-iphone-china/apples-new-budget-iphone-unlikely-to-make-splash-in-china-where-5g-now-commonplace-idUSL3N2C40VJ,3 months ago,Apple's new budget iPhone unlikely to make splash in China where 5G now commonplace,0.0,1.0,0.0,0.0
68,68,"U.S. senator says Apple, Google need to show contact tracing will not violate privacy",https://www.reuters.com/article/us-health-coronavirus-google-apple/u-s-senator-says-apple-google-need-to-show-contact-tracing-will-not-violate-privacy-idUSKCN21X32M,3 months ago,"U.S. senator says Apple, Google need to show contact tracing will not violate privacy",0.0,0.832,0.168,0.3875
